,cellName,cellMarker
1583,SLC16A7+ cell,LACTB
1584,SLC16A7+ cell,LAIR1
1585,SLC16A7+ cell,LAMA5
1586,SLC16A7+ cell,LARS1
1587,SLC16A7+ cell,LAX1
1588,SLC16A7+ cell,LDB3
1589,SLC16A7+ cell,LENG8
1590,SLC16A7+ cell,LEP
1591,SLC16A7+ cell,LEPR
1592,SLC16A7+ cell,LIAS
1593,SLC16A7+ cell,LILRA5
1594,SLC16A7+ cell,LILRB1
1595,SLC16A7+ cell,LILRB3
1596,SLC16A7+ cell,LIMD1
1597,SLC16A7+ cell,LIMS3
1598,SLC16A7+ cell,LIN52
1599,SLC16A7+ cell,LINC00311
1600,SLC16A7+ cell,ERCC6L2-AS1
1601,SLC16A7+ cell,LINC00574
1602,SLC16A7+ cell,LINC00696
1603,SLC16A7+ cell,LMOD3
1604,SLC16A7+ cell,LONP2
1605,SLC16A7+ cell,LPAL2
1606,SLC16A7+ cell,LPIN1
1607,SLC16A7+ cell,LPP
1608,SLC16A7+ cell,LRAT
1609,SLC16A7+ cell,LRRC2
1610,SLC16A7+ cell,LRRC27
1611,SLC16A7+ cell,LRRC36
1612,SLC16A7+ cell,LRRC57
1613,SLC16A7+ cell,LRRC58
1614,SLC16A7+ cell,LRRC8B
1615,SLC16A7+ cell,LYRM7
1616,SLC16A7+ cell,MAB21L3
1617,SLC16A7+ cell,MACC1
1618,SLC16A7+ cell,MAFK
1619,SLC16A7+ cell,MAGEB10
1620,SLC16A7+ cell,MAGI3
1621,SLC16A7+ cell,MALAT1
1622,SLC16A7+ cell,MANEAL
1623,SLC16A7+ cell,MAP3K3
1624,SLC16A7+ cell,MAP3K6
1625,SLC16A7+ cell,MAP3K9
1626,SLC16A7+ cell,MAP4K1
1627,SLC16A7+ cell,MAPK10
1628,SLC16A7+ cell,MAPK8IP3
1629,SLC16A7+ cell,MARVELD3
1630,SLC16A7+ cell,MAT1A
1631,SLC16A7+ cell,MAVS
1632,SLC16A7+ cell,MBD4
1633,SLC16A7+ cell,MBOAT2
1634,SLC16A7+ cell,MCHR2
1635,SLC16A7+ cell,MCPH1
1636,SLC16A7+ cell,MCTS1
1637,SLC16A7+ cell,MCU
1638,SLC16A7+ cell,MDGA1
1639,SLC16A7+ cell,MDH1B
1640,SLC16A7+ cell,MDM4
1641,SLC16A7+ cell,MED15P9
1642,SLC16A7+ cell,MED18
1643,SLC16A7+ cell,MED29
1644,SLC16A7+ cell,MEFV
1645,SLC16A7+ cell,METTL16
1646,SLC16A7+ cell,METTL17
1647,SLC16A7+ cell,METTL21A
1648,SLC16A7+ cell,METTL2A
1649,SLC16A7+ cell,METTL2B
1650,SLC16A7+ cell,METTL6
1651,SLC16A7+ cell,METTL8
1652,SLC16A7+ cell,MFAP5
1653,SLC16A7+ cell,MFHAS1
1654,SLC16A7+ cell,MFSD11
1655,SLC16A7+ cell,MFSD8
1656,SLC16A7+ cell,MFSD9
1657,SLC16A7+ cell,MGAT4A
1658,SLC16A7+ cell,MGC16275
1659,SLC16A7+ cell,MICAL3
1660,SLC16A7+ cell,MID1
1661,SLC16A7+ cell,MIR17HG
1662,SLC16A7+ cell,MIRLET7BHG
1663,SLC16A7+ cell,MKRN2OS
1664,SLC16A7+ cell,MLLT10
1665,SLC16A7+ cell,MLPH
1666,SLC16A7+ cell,MMAA
1667,SLC16A7+ cell,MMACHC
1668,SLC16A7+ cell,MOCS3
1669,SLC16A7+ cell,MOG
1670,SLC16A7+ cell,MOGAT3
1671,SLC16A7+ cell,MOK
1672,SLC16A7+ cell,MOV10
1673,SLC16A7+ cell,MPPED2
1674,SLC16A7+ cell,MR1
1675,SLC16A7+ cell,MRI1
1676,SLC16A7+ cell,MS4A2
1677,SLC16A7+ cell,MSL1
1678,SLC16A7+ cell,MSRB3
1679,SLC16A7+ cell,MTA1
1680,SLC16A7+ cell,MTAP
1681,SLC16A7+ cell,MTG2
1682,SLC16A7+ cell,MTHFR
1683,SLC16A7+ cell,MTMR9
1684,SLC16A7+ cell,MTX3
1685,SLC16A7+ cell,MYCNOS
1686,SLC16A7+ cell,MYEF2
1687,SLC16A7+ cell,MYLK3
1688,SLC16A7+ cell,MYO19
1689,SLC16A7+ cell,MYO1F
1690,SLC16A7+ cell,MYO3B
1691,SLC16A7+ cell,MYO5A
1692,SLC16A7+ cell,MYSM1
1693,SLC16A7+ cell,MZF1
1694,SLC16A7+ cell,N4BP2
1695,SLC16A7+ cell,N4BP2L2
1696,SLC16A7+ cell,NAA40
1697,SLC16A7+ cell,NABP2
1698,SLC16A7+ cell,NAPEPLD
1699,SLC16A7+ cell,NCR3LG1
1700,SLC16A7+ cell,NCRUPAR
1701,SLC16A7+ cell,NEAT1
1702,SLC16A7+ cell,NEIL1
1703,SLC16A7+ cell,NEK11
1704,SLC16A7+ cell,NEK3
1705,SLC16A7+ cell,NEK8
1706,SLC16A7+ cell,NFAT5
1707,SLC16A7+ cell,NFATC2IP
1708,SLC16A7+ cell,NFKBIB
1709,SLC16A7+ cell,NFS1
1710,SLC16A7+ cell,NFYC-AS1
1711,SLC16A7+ cell,NIF3L1
1712,SLC16A7+ cell,NIPAL1
1713,SLC16A7+ cell,NKD1
1714,SLC16A7+ cell,NLN
1715,SLC16A7+ cell,NLRP12
1716,SLC16A7+ cell,NME6
1717,SLC16A7+ cell,NMNAT1
1718,SLC16A7+ cell,NMRK1
1719,SLC16A7+ cell,NOL9
1720,SLC16A7+ cell,NOM1
1721,SLC16A7+ cell,NOS1
1722,SLC16A7+ cell,NOX4
1723,SLC16A7+ cell,NPHP3
1724,SLC16A7+ cell,NPIPA2
1725,SLC16A7+ cell,NPIPA5
1726,SLC16A7+ cell,NPIPB3
1727,SLC16A7+ cell,NPIPB5
1728,SLC16A7+ cell,NPIPB6
1729,SLC16A7+ cell,NPIPB9
1730,SLC16A7+ cell,NPTN-IT1
1731,SLC16A7+ cell,NPTXR
1732,SLC16A7+ cell,NR2C1
1733,SLC16A7+ cell,NSUN6
1734,SLC16A7+ cell,NSUN7
1735,SLC16A7+ cell,NUMBL
1736,SLC16A7+ cell,NXF2
1737,SLC16A7+ cell,NXF2B
1738,SLC16A7+ cell,NXNL1
1739,SLC16A7+ cell,NXPE3
1740,SLC16A7+ cell,NYAP2
1741,SLC16A7+ cell,OCLN
1742,SLC16A7+ cell,ODF2L
1743,SLC16A7+ cell,OLAH
1744,SLC16A7+ cell,OMA1
1745,SLC16A7+ cell,OPA3
1746,SLC16A7+ cell,OPHN1
1747,SLC16A7+ cell,ORAI2
1748,SLC16A7+ cell,ORC4
1749,SLC16A7+ cell,OVGP1
1750,SLC16A7+ cell,P2RX7
1751,SLC16A7+ cell,PABPC1L
1752,SLC16A7+ cell,PABPC1P2
1753,SLC16A7+ cell,PAFAH1B2
1754,SLC16A7+ cell,PANK2
1755,SLC16A7+ cell,PAXBP1
1756,SLC16A7+ cell,PBOV1
1757,SLC16A7+ cell,PBX4
1758,SLC16A7+ cell,PCDH11X
1759,SLC16A7+ cell,PCDH11Y
1760,SLC16A7+ cell,PCED1B-AS1
1761,SLC16A7+ cell,PCMTD1
1762,SLC16A7+ cell,PCSK5
1763,SLC16A7+ cell,PDCD7
1764,SLC16A7+ cell,PDE2A
1765,SLC16A7+ cell,PDE4C
1766,SLC16A7+ cell,PDE6A
1767,SLC16A7+ cell,PDP2
1768,SLC16A7+ cell,PDPR
1769,SLC16A7+ cell,PDXDC2P
1770,SLC16A7+ cell,PEX26
1771,SLC16A7+ cell,PGP
1772,SLC16A7+ cell,PHACTR4
1773,SLC16A7+ cell,PHIP
1774,SLC16A7+ cell,PHKG1
1775,SLC16A7+ cell,PHKG2
1776,SLC16A7+ cell,PHYKPL
1777,SLC16A7+ cell,PIGM
1778,SLC16A7+ cell,PIGO
1779,SLC16A7+ cell,PIGU
1780,SLC16A7+ cell,PIGX
1781,SLC16A7+ cell,PIK3C2A
1782,SLC16A7+ cell,PILRB
1783,SLC16A7+ cell,PINK1-AS
1784,SLC16A7+ cell,PIPOX
1785,SLC16A7+ cell,PIWIL2
1786,SLC16A7+ cell,PKD1
1787,SLC16A7+ cell,PLA2G6
1788,SLC16A7+ cell,PLA2G7
1789,SLC16A7+ cell,PLEKHA5
1790,SLC16A7+ cell,PLEKHG4B
1791,SLC16A7+ cell,PLEKHG6
1792,SLC16A7+ cell,PLEKHG7
1793,SLC16A7+ cell,PLXDC1
1794,SLC16A7+ cell,PLXNB1
1795,SLC16A7+ cell,PMS1
1796,SLC16A7+ cell,PNPLA6
1797,SLC16A7+ cell,PNPLA7
1798,SLC16A7+ cell,PNPT1
1799,SLC16A7+ cell,POFUT2
1800,SLC16A7+ cell,POLH
1801,SLC16A7+ cell,POM121
1802,SLC16A7+ cell,POM121L8P
1803,SLC16A7+ cell,PPM1B
1804,SLC16A7+ cell,PPOX
1805,SLC16A7+ cell,PPP1R3B
1806,SLC16A7+ cell,PRELID2
1807,SLC16A7+ cell,PRELP
1808,SLC16A7+ cell,PRKAA1
1809,SLC16A7+ cell,PRKD2
1810,SLC16A7+ cell,PRKX
1811,SLC16A7+ cell,PRKXP1
1812,SLC16A7+ cell,PRORY
1813,SLC16A7+ cell,PRR11
1814,SLC16A7+ cell,PRR5-ARHGAP8
1815,SLC16A7+ cell,PRRT3
1816,SLC16A7+ cell,PRSS12
1817,SLC16A7+ cell,PTAR1
1818,SLC16A7+ cell,PTK6
1819,SLC16A7+ cell,PTPN14
1820,SLC16A7+ cell,PTPN2
1821,SLC16A7+ cell,PURB
1822,SLC16A7+ cell,PWARSN
1823,SLC16A7+ cell,PXMP4
1824,SLC16A7+ cell,QPCTL
1825,SLC16A7+ cell,QPRT
1826,SLC16A7+ cell,QRFPR
1827,SLC16A7+ cell,QRSL1
1828,SLC16A7+ cell,RAB17
1829,SLC16A7+ cell,RAB27A
1830,SLC16A7+ cell,RAB42
1831,SLC16A7+ cell,RABGGTA
1832,SLC16A7+ cell,RAD51-AS1
1833,SLC16A7+ cell,RAD9A
1834,SLC16A7+ cell,RALGDS
1835,SLC16A7+ cell,RAMP2-AS1
1836,SLC16A7+ cell,RASA3
1837,SLC16A7+ cell,RASEF
1838,SLC16A7+ cell,RASSF8
1839,SLC16A7+ cell,RAX2
1840,SLC16A7+ cell,RBBP5
1841,SLC16A7+ cell,RBM25
1842,SLC16A7+ cell,RBM34
1843,SLC16A7+ cell,RBM41
1844,SLC16A7+ cell,RBM6
1845,SLC16A7+ cell,RBMS2
1846,SLC16A7+ cell,RC3H1
1847,SLC16A7+ cell,RFC2
1848,SLC16A7+ cell,RFPL1S
1849,SLC16A7+ cell,RIMKLA
1850,SLC16A7+ cell,RINL
1851,SLC16A7+ cell,RNASEH1
1852,SLC16A7+ cell,RNASEH1-DT
1853,SLC16A7+ cell,RND2
1854,SLC16A7+ cell,RNF139-DT
1855,SLC16A7+ cell,RNF14
1856,SLC16A7+ cell,RNF149
1857,SLC16A7+ cell,RNF170
1858,SLC16A7+ cell,RNF207
1859,SLC16A7+ cell,RNF41
1860,SLC16A7+ cell,RNPC3
1861,SLC16A7+ cell,ROR1-AS1
1862,SLC16A7+ cell,RP1
1863,SLC16A7+ cell,RPL21P44
1864,SLC16A7+ cell,RPL7L1
1865,SLC16A7+ cell,RPLP0P2
1866,SLC16A7+ cell,RPUSD2
1867,SLC16A7+ cell,RRP7A
1868,SLC16A7+ cell,RSAD2
1869,SLC16A7+ cell,RSRP1
1870,SLC16A7+ cell,S1PR3
1871,SLC16A7+ cell,SAMD4B
1872,SLC16A7+ cell,SAMD7
1873,SLC16A7+ cell,SART1
1874,SLC16A7+ cell,SBNO1
1875,SLC16A7+ cell,SCAF11
1876,SLC16A7+ cell,SCAND2P
1877,SLC16A7+ cell,SCAP
1878,SLC16A7+ cell,SCIMP
1879,SLC16A7+ cell,SCIN
1880,SLC16A7+ cell,SCN11A
1881,SLC16A7+ cell,SCN2B
1882,SLC16A7+ cell,SCNN1D
1883,SLC16A7+ cell,SEC14L4
1884,SLC16A7+ cell,SEC22C
1885,SLC16A7+ cell,SEMA3E
1886,SLC16A7+ cell,SEMA4F
1887,SLC16A7+ cell,SEMA5A
1888,SLC16A7+ cell,SENP7
1889,SLC16A7+ cell,SETD1B
1890,SLC16A7+ cell,SETD4
1891,SLC16A7+ cell,SFSWAP
1892,SLC16A7+ cell,SGK3
1893,SLC16A7+ cell,SGSM1
1894,SLC16A7+ cell,SGTB
1895,SLC16A7+ cell,SH3D19
1896,SLC16A7+ cell,SHCBP1
1897,SLC16A7+ cell,SHE
1898,SLC16A7+ cell,SHISA9
1899,SLC16A7+ cell,SHROOM1
1900,SLC16A7+ cell,SHROOM4
1901,SLC16A7+ cell,SIAH3
1902,SLC16A7+ cell,SIDT1
1903,SLC16A7+ cell,SIGLEC11
1904,SLC16A7+ cell,SIGLEC16
1905,SLC16A7+ cell,SIRPB2
1906,SLC16A7+ cell,SKIV2L
1907,SLC16A7+ cell,SLAMF6
1908,SLC16A7+ cell,SLC12A6
1909,SLC16A7+ cell,SLC14A2
1910,SLC16A7+ cell,SLC16A7
1911,SLC16A7+ cell,SLC22A5
1912,SLC16A7+ cell,SLC22A9
1913,SLC16A7+ cell,SLC25A15
1914,SLC16A7+ cell,SLC25A29
1915,SLC16A7+ cell,SLC25A36
1916,SLC16A7+ cell,SLC28A2
1917,SLC16A7+ cell,SLC29A3
1918,SLC16A7+ cell,SLC2A11
1919,SLC16A7+ cell,SLC2A3
1920,SLC16A7+ cell,SLC31A1
1921,SLC16A7+ cell,SLC35B4
1922,SLC16A7+ cell,SLC35E1
1923,SLC16A7+ cell,SLC37A3
1924,SLC16A7+ cell,SLC45A2
1925,SLC16A7+ cell,SLC4A1
1926,SLC16A7+ cell,SLC4A8
1927,SLC16A7+ cell,SLC50A1
1928,SLC16A7+ cell,SLC6A20
1929,SLC16A7+ cell,SLC6A4
1930,SLC16A7+ cell,SLC7A11-AS1
1931,SLC16A7+ cell,SLC7A14
1932,SLC16A7+ cell,SLC7A5P2
1933,SLC16A7+ cell,SLC7A6
1934,SLC16A7+ cell,SLC9A7P1
1935,SLC16A7+ cell,SLFN13
1936,SLC16A7+ cell,GUSBP15
1937,SLC16A7+ cell,SMCR5
1938,SLC16A7+ cell,SMG1
1939,SLC16A7+ cell,SMG7-AS1
1940,SLC16A7+ cell,SMYD4
1941,SLC16A7+ cell,SNAP29
1942,SLC16A7+ cell,SNAPC1
1943,SLC16A7+ cell,SNAPC4
1944,SLC16A7+ cell,SNHG12
1945,SLC16A7+ cell,SNHG21
1946,SLC16A7+ cell,SNHG7
1947,SLC16A7+ cell,SNX29
1948,SLC16A7+ cell,SOGA3
1949,SLC16A7+ cell,SPAG17
1950,SLC16A7+ cell,SPATS2
1951,SLC16A7+ cell,SPEF2
1952,SLC16A7+ cell,SPG7
1953,SLC16A7+ cell,SPN
1954,SLC16A7+ cell,SPRYD7
1955,SLC16A7+ cell,SPTAN1
1956,SLC16A7+ cell,SRCAP
1957,SLC16A7+ cell,SRCIN1
1958,SLC16A7+ cell,SREK1
1959,SLC16A7+ cell,SREK1IP1
1960,SLC16A7+ cell,SRFBP1
1961,SLC16A7+ cell,SRGAP3
1962,SLC16A7+ cell,SRSF11
1963,SLC16A7+ cell,SSH1
1964,SLC16A7+ cell,SSTR2
1965,SLC16A7+ cell,ST6GAL2
1966,SLC16A7+ cell,STAG3L5P-PVRIG2P-PILRB
1967,SLC16A7+ cell,STAT2
1968,SLC16A7+ cell,STAU2-AS1
1969,SLC16A7+ cell,STK33
1970,SLC16A7+ cell,STK36
1971,SLC16A7+ cell,STOML1
1972,SLC16A7+ cell,STX16
1973,SLC16A7+ cell,STXBP4
1974,SLC16A7+ cell,SUGP2
1975,SLC16A7+ cell,SUV39H2
1976,SLC16A7+ cell,SVOPL
1977,SLC16A7+ cell,SYNE1
1978,SLC16A7+ cell,SYNGAP1
1979,SLC16A7+ cell,SYNPO2L
1980,SLC16A7+ cell,SYNRG
1981,SLC16A7+ cell,TADA2B
1982,SLC16A7+ cell,TAF1
1983,SLC16A7+ cell,TAF1A
1984,SLC16A7+ cell,TAF8
1985,SLC16A7+ cell,TAP2
1986,SLC16A7+ cell,TARBP1
1987,SLC16A7+ cell,TARS2
1988,SLC16A7+ cell,TBC1D3
1989,SLC16A7+ cell,TBC1D32
1990,SLC16A7+ cell,TBC1D8
1991,SLC16A7+ cell,TCEANC2
1992,SLC16A7+ cell,TCF7
1993,SLC16A7+ cell,DYNLT5
1994,SLC16A7+ cell,TDP1
1995,SLC16A7+ cell,TDRD3
1996,SLC16A7+ cell,TECPR1
1997,SLC16A7+ cell,TEKT4P2
1998,SLC16A7+ cell,TFDP2
1999,SLC16A7+ cell,THEM4
2000,SLC16A7+ cell,THUMPD3-AS1
2001,SLC16A7+ cell,TIGD1
2002,SLC16A7+ cell,TIRAP
2003,SLC16A7+ cell,TLCD2
2004,SLC16A7+ cell,TLK2
2005,SLC16A7+ cell,TLR10
2006,SLC16A7+ cell,TLR7
2007,SLC16A7+ cell,TMC5
2008,SLC16A7+ cell,TMEM120B
2009,SLC16A7+ cell,TMEM156
2010,SLC16A7+ cell,TMEM168
2011,SLC16A7+ cell,TMEM17
2012,SLC16A7+ cell,TMEM198B
2013,SLC16A7+ cell,TMEM212
2014,SLC16A7+ cell,TMEM236
2015,SLC16A7+ cell,TMEM254-AS1
2016,SLC16A7+ cell,TMEM67
2017,SLC16A7+ cell,TMIGD2
2018,SLC16A7+ cell,TMPRSS11B
2019,SLC16A7+ cell,TMPRSS7
2020,SLC16A7+ cell,TNFRSF10B
2021,SLC16A7+ cell,TNFRSF25
2022,SLC16A7+ cell,TNFRSF9
2023,SLC16A7+ cell,TNFSF15
2024,SLC16A7+ cell,TNIP3
2025,SLC16A7+ cell,TNRC6A
2026,SLC16A7+ cell,TNRC6B
2027,SLC16A7+ cell,TONSL
2028,SLC16A7+ cell,TOP3A
2029,SLC16A7+ cell,TPT1-AS1
2030,SLC16A7+ cell,TPTE2P1
2031,SLC16A7+ cell,TRAF3IP2
2032,SLC16A7+ cell,TRAF6
2033,SLC16A7+ cell,TRIM3
2034,SLC16A7+ cell,TRIM41
2035,SLC16A7+ cell,TRIM52
2036,SLC16A7+ cell,TRIM52-AS1
2037,SLC16A7+ cell,TRIM58
2038,SLC16A7+ cell,TRIM65
2039,SLC16A7+ cell,TRIM72
2040,SLC16A7+ cell,TRIP11
2041,SLC16A7+ cell,TRIP13
2042,SLC16A7+ cell,TRMU
2043,SLC16A7+ cell,TRPM7
2044,SLC16A7+ cell,TSC22D1-AS1
2045,SLC16A7+ cell,TSHZ2
2046,SLC16A7+ cell,TSIX
2047,SLC16A7+ cell,TSNARE1
2048,SLC16A7+ cell,TSPYL4
2049,SLC16A7+ cell,TSR1
2050,SLC16A7+ cell,TSTD3
2051,SLC16A7+ cell,TTC12
2052,SLC16A7+ cell,TTC14
2053,SLC16A7+ cell,TTC23
2054,SLC16A7+ cell,TTLL3
2055,SLC16A7+ cell,TTPAL
2056,SLC16A7+ cell,TUBA3FP
2057,SLC16A7+ cell,TUBD1
2058,SLC16A7+ cell,TUBGCP4
2059,SLC16A7+ cell,TXLNGY
2060,SLC16A7+ cell,TYW5
2061,SLC16A7+ cell,UBE2G2
2062,SLC16A7+ cell,UBE2Q2P1
2063,SLC16A7+ cell,UBIAD1
2064,SLC16A7+ cell,UBN2
2065,SLC16A7+ cell,UBOX5
2066,SLC16A7+ cell,UCKL1-AS1
2067,SLC16A7+ cell,UGDH-AS1
2068,SLC16A7+ cell,UGGT1
2069,SLC16A7+ cell,UGT2B15
2070,SLC16A7+ cell,UNKL
2071,SLC16A7+ cell,USP2
2072,SLC16A7+ cell,USP28
2073,SLC16A7+ cell,USP34
2074,SLC16A7+ cell,USP40
2075,SLC16A7+ cell,USP43
2076,SLC16A7+ cell,USP49
2077,SLC16A7+ cell,USP54
2078,SLC16A7+ cell,UTP23
2079,SLC16A7+ cell,UTRN
2080,SLC16A7+ cell,UVSSA
2081,SLC16A7+ cell,VN1R10P
2082,SLC16A7+ cell,VNN1
2083,SLC16A7+ cell,VNN3P
2084,SLC16A7+ cell,VPS11
2085,SLC16A7+ cell,VPS13A
2086,SLC16A7+ cell,VPS13B
2087,SLC16A7+ cell,VPS33A
2088,SLC16A7+ cell,VPS39
2089,SLC16A7+ cell,VPS53
2090,SLC16A7+ cell,VSIG1
2091,SLC16A7+ cell,VSTM4
2092,SLC16A7+ cell,VWA3A
2093,SLC16A7+ cell,VWDE
2094,SLC16A7+ cell,WDPCP
2095,SLC16A7+ cell,WDR17
2096,SLC16A7+ cell,WDR27
2097,SLC16A7+ cell,WDR45
2098,SLC16A7+ cell,WDR73
2099,SLC16A7+ cell,DNAAF10
2100,SLC16A7+ cell,WDR93
2101,SLC16A7+ cell,WSB1
2102,SLC16A7+ cell,WWOX
2103,SLC16A7+ cell,XAF1
2104,SLC16A7+ cell,XIAP
2105,SLC16A7+ cell,XPA
2106,SLC16A7+ cell,XPC
2107,SLC16A7+ cell,XRCC2
2108,SLC16A7+ cell,XRN1
2109,SLC16A7+ cell,YARS2
2110,SLC16A7+ cell,YEATS2
2111,SLC16A7+ cell,ZBBX
2112,SLC16A7+ cell,ZBP1
2113,SLC16A7+ cell,ZBTB11-AS1
2114,SLC16A7+ cell,ZBTB8A
2115,SLC16A7+ cell,ZC3H12D
2116,SLC16A7+ cell,ZC3H3
2117,SLC16A7+ cell,ZC3H6
2118,SLC16A7+ cell,ZCWPW1
2119,SLC16A7+ cell,ZDHHC15
2120,SLC16A7+ cell,ZDHHC21
2121,SLC16A7+ cell,ZFP14
2122,SLC16A7+ cell,ZFYVE16
2123,SLC16A7+ cell,ZFYVE27
2124,SLC16A7+ cell,ZKSCAN1
2125,SLC16A7+ cell,ZMAT3
2126,SLC16A7+ cell,ZMYM5
2127,SLC16A7+ cell,ZNF106
2128,SLC16A7+ cell,ZNF114
2129,SLC16A7+ cell,ZNF124
2130,SLC16A7+ cell,ZNF135
2131,SLC16A7+ cell,ZNF154
2132,SLC16A7+ cell,ZNF169
2133,SLC16A7+ cell,ZNF23
2134,SLC16A7+ cell,ZNF234
2135,SLC16A7+ cell,ZNF250
2136,SLC16A7+ cell,ZNF251
2137,SLC16A7+ cell,ZNF264
2138,SLC16A7+ cell,ZNF273
2139,SLC16A7+ cell,ZNF277
2140,SLC16A7+ cell,ZNF3
2141,SLC16A7+ cell,ZNF302
2142,SLC16A7+ cell,ZNF316
2143,SLC16A7+ cell,ZNF320
2144,SLC16A7+ cell,ZNF321P
2145,SLC16A7+ cell,ZNF33B
2146,SLC16A7+ cell,ZNF34
2147,SLC16A7+ cell,ZNF343
2148,SLC16A7+ cell,ZNF365
2149,SLC16A7+ cell,ZNF37A
2150,SLC16A7+ cell,ZNF398
2151,SLC16A7+ cell,ZNF417
2152,SLC16A7+ cell,ZNF426
2153,SLC16A7+ cell,ZNF429
2154,SLC16A7+ cell,ZNF440
2155,SLC16A7+ cell,ZNF445
2156,SLC16A7+ cell,ZNF454
2157,SLC16A7+ cell,ZNF461
2158,SLC16A7+ cell,ZNF483
2159,SLC16A7+ cell,ZNF514
2160,SLC16A7+ cell,ZNF519
2161,SLC16A7+ cell,ZNF526
2162,SLC16A7+ cell,ZNF549
2163,SLC16A7+ cell,ZNF551
2164,SLC16A7+ cell,ZNF554
2165,SLC16A7+ cell,ZNF555
2166,SLC16A7+ cell,ZNF556
2167,SLC16A7+ cell,ZNF561
2168,SLC16A7+ cell,ZNF563
2169,SLC16A7+ cell,ZNF587
2170,SLC16A7+ cell,ZNF606
2171,SLC16A7+ cell,ZNF621
2172,SLC16A7+ cell,ZNF625
2173,SLC16A7+ cell,ZNF655
2174,SLC16A7+ cell,ZNF665
2175,SLC16A7+ cell,ZNF669
2176,SLC16A7+ cell,ZNF692
2177,SLC16A7+ cell,ZNF696
2178,SLC16A7+ cell,ZNF713
2179,SLC16A7+ cell,ZNF714
2180,SLC16A7+ cell,ZNF716
2181,SLC16A7+ cell,ZNF728
2182,SLC16A7+ cell,ZNF737
2183,SLC16A7+ cell,ZNF749
2184,SLC16A7+ cell,ZNF761
2185,SLC16A7+ cell,ZNF763
2186,SLC16A7+ cell,ZNF766
2187,SLC16A7+ cell,ZNF773
2188,SLC16A7+ cell,ZNF785
2189,SLC16A7+ cell,ZNF791
2190,SLC16A7+ cell,ZNF793
2191,SLC16A7+ cell,ZNF816-ZNF321P
2192,SLC16A7+ cell,ZNF83
2193,SLC16A7+ cell,ZNF841
2194,SLC16A7+ cell,ZNF862
2195,SLC16A7+ cell,ZNF865
2196,SLC16A7+ cell,ZNRF3-AS1
2197,CD141+CLEC9A+ dendritic cell,ACSS2
2198,CD141+CLEC9A+ dendritic cell,ADAM28
2199,CD141+CLEC9A+ dendritic cell,APOL1
2200,CD141+CLEC9A+ dendritic cell,APOL3
2201,CD141+CLEC9A+ dendritic cell,ASAP1
2202,CD141+CLEC9A+ dendritic cell,ASB2
2203,CD141+CLEC9A+ dendritic cell,BATF3
2204,CD141+CLEC9A+ dendritic cell,BCL6
2205,CD141+CLEC9A+ dendritic cell,BTLA
2206,CD141+CLEC9A+ dendritic cell,CADM1
2207,CD141+CLEC9A+ dendritic cell,CAMK2D
2208,CD141+CLEC9A+ dendritic cell,CCND1
2209,CD141+CLEC9A+ dendritic cell,CD40
2210,CD141+CLEC9A+ dendritic cell,CD93
2211,CD141+CLEC9A+ dendritic cell,CLNK
2212,CD141+CLEC9A+ dendritic cell,CPNE3
2213,CD141+CLEC9A+ dendritic cell,CPVL
2214,CD141+CLEC9A+ dendritic cell,CSRP1
2215,CD141+CLEC9A+ dendritic cell,CTTNBP2NL
2216,CD141+CLEC9A+ dendritic cell,CYB5R3
2217,CD141+CLEC9A+ dendritic cell,CYP2E1
2218,CD141+CLEC9A+ dendritic cell,DENND1B
2219,CD141+CLEC9A+ dendritic cell,DHRS3
2220,CD141+CLEC9A+ dendritic cell,DNASE1L3
2221,CD141+CLEC9A+ dendritic cell,DPP4
2222,CD141+CLEC9A+ dendritic cell,DSE
2223,CD141+CLEC9A+ dendritic cell,DST
2224,CD141+CLEC9A+ dendritic cell,DUSP10
2225,CD141+CLEC9A+ dendritic cell,DUSP2
2226,CD141+CLEC9A+ dendritic cell,EHD4
2227,CD141+CLEC9A+ dendritic cell,ELOVL5
2228,CD141+CLEC9A+ dendritic cell,ENPP1
2229,CD141+CLEC9A+ dendritic cell,FAM135A
2230,CD141+CLEC9A+ dendritic cell,FCRL6
2231,CD141+CLEC9A+ dendritic cell,FLT3
2232,CD141+CLEC9A+ dendritic cell,FUCA1
2233,CD141+CLEC9A+ dendritic cell,GSTM4
2234,CD141+CLEC9A+ dendritic cell,GYPC
2235,CD141+CLEC9A+ dendritic cell,HAVCR2
2236,CD141+CLEC9A+ dendritic cell,HLA-DOB
2237,CD141+CLEC9A+ dendritic cell,HLA-DPB2
2238,CD141+CLEC9A+ dendritic cell,IDO2
2239,CD141+CLEC9A+ dendritic cell,INF2
2240,CD141+CLEC9A+ dendritic cell,KCNK6
2241,CD141+CLEC9A+ dendritic cell,KIF16B
2242,CD141+CLEC9A+ dendritic cell,LACC1
2243,CD141+CLEC9A+ dendritic cell,LGALS2
2244,CD141+CLEC9A+ dendritic cell,LMNA
2245,CD141+CLEC9A+ dendritic cell,LRRC18
2246,CD141+CLEC9A+ dendritic cell,NDRG2
2247,CD141+CLEC9A+ dendritic cell,NET1
2248,CD141+CLEC9A+ dendritic cell,OSBPL3
2249,CD141+CLEC9A+ dendritic cell,PAFAH1B3
2250,CD141+CLEC9A+ dendritic cell,PDE4DIP
2251,CD141+CLEC9A+ dendritic cell,PDLIM1
2252,CD141+CLEC9A+ dendritic cell,PDLIM7
